               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10764,            0.051463,            0.043456,             0.52825,           0.0087719,            0.031344,            0.010938,            0.083361,            0.030113,            0.031287,              0.0748,              0.0028,              0.0028
                   1,            0.081323,            0.052182,            0.031068,            0.095203,             0.26495,            0.056191,             0.01531,            0.066131,            0.033106,            0.020609,            0.048694,           0.0056944,           0.0056944
                   2,            0.078034,            0.045187,            0.027213,             0.79272,            0.065789,             0.05466,            0.013438,            0.078011,            0.027519,            0.018096,            0.022583,            0.008583,            0.008583
                   3,             0.07546,            0.044022,            0.023081,             0.60906,             0.26664,             0.10493,            0.027051,            0.080441,            0.024301,            0.015043,           0.0099703,           0.0099703,           0.0099703
                   4,            0.076145,            0.037515,            0.021744,             0.39698,             0.20682,             0.16259,             0.05358,            0.068981,            0.023515,            0.020278,           0.0099703,           0.0099703,           0.0099703
                   5,            0.066255,            0.035152,            0.019673,             0.18834,             0.64486,              0.4653,             0.20032,            0.066562,            0.019656,            0.010924,           0.0099604,           0.0099604,           0.0099604
                   6,            0.057236,              0.0351,            0.017831,             0.35639,             0.57041,             0.41836,              0.1865,             0.05298,            0.019892,            0.011529,           0.0099505,           0.0099505,           0.0099505
                   7,            0.056929,            0.032429,            0.014943,             0.39576,             0.70358,             0.53923,             0.26524,            0.046275,            0.017546,            0.010539,           0.0099406,           0.0099406,           0.0099406
                   8,            0.054222,            0.032272,            0.014756,             0.49216,             0.73363,             0.63905,             0.29123,            0.040695,             0.01608,           0.0088378,           0.0099307,           0.0099307,           0.0099307
                   9,            0.048538,            0.030236,            0.013287,             0.50671,             0.76725,             0.66266,             0.32975,            0.047994,            0.015622,           0.0074178,           0.0099208,           0.0099208,           0.0099208
                  10,            0.054291,             0.03075,             0.01275,             0.59592,             0.84858,             0.79714,             0.34961,             0.05216,            0.015222,           0.0061657,           0.0099109,           0.0099109,           0.0099109
                  11,            0.050371,            0.027967,            0.011747,             0.61851,             0.85781,             0.81113,             0.44069,            0.049256,            0.015097,           0.0057715,            0.009901,            0.009901,            0.009901
